family_size,age_group_distribution,income_level,preferred_travel_month,home_state,travel_mode_preference,average_stay_days,accommodation_preference,food_preference,activity_preference,destination_city,destination_type,state_of_destination,distance_from_home,average_weather,crowd_level,safety_index,nearest_airport_km,avg_hotel_cost_per_night,popular_attractions,transport_cost,stay_cost,food_cost,activity_cost,total_budget
7,"2 kids, 2 adults, 3 seniors",Middle,August,Karnataka,Flight,6,Resort,Mixed,Wildlife,Shimla,Hill Station,Himachal Pradesh,1471,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",8400,28800,16800,4202,58202
2,"0 kids, 2 adults, 0 seniors",High,February,Assam,Bus,3,Resort,Special Dietary,Pilgrimage,Jim Corbett,Wildlife,Uttarakhand,2470,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",388,15750,3300,7553,26991
2,"1 kids, 1 adults, 0 seniors",Middle,August,Uttar Pradesh,Train,2,Hotel,Mixed,Food & Market,Shimla,Hill Station,Himachal Pradesh,2266,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",592,6400,1600,1913,10505
2,"0 kids, 2 adults, 0 seniors",High,September,Uttar Pradesh,Flight,7,Hotel,Mixed,Pilgrimage,Jaipur,Historical,Rajasthan,1585,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",2400,22400,5600,5668,36068
7,"2 kids, 1 adults, 4 seniors",Middle,September,Assam,Train,6,Homestay,Non-Veg,Relaxation,Shimla,Hill Station,Himachal Pradesh,2586,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",2275,15360,18900,1658,38193
4,"2 kids, 2 adults, 0 seniors",Low,December,Kerala,Train,8,Resort,Mixed,Sightseeing,Kaziranga,Wildlife,Assam,2356,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",644,31200,12800,6792,51436
7,"3 kids, 3 adults, 1 seniors",Low,May,Rajasthan,Car,7,Budget Lodge,Special Dietary,Sightseeing,Goa,Beach,Goa,763,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",6621,18900,26950,1632,54103
4,"0 kids, 1 adults, 3 seniors",Middle,October,Rajasthan,Flight,4,Hotel,Non-Veg,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,378,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",4800,8000,7200,1792,21792
7,"1 kids, 4 adults, 2 seniors",Middle,December,Bihar,Train,10,Hotel,Special Dietary,Sightseeing,Agra,Historical,Uttar Pradesh,2536,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",1848,25000,38500,4282,69630
8,"2 kids, 4 adults, 2 seniors",Middle,July,Rajasthan,Bus,11,Hotel,Mixed,Adventure,Kaziranga,Wildlife,Assam,2168,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",1000,28600,35200,6042,70842
2,"0 kids, 2 adults, 0 seniors",Low,March,Uttarakhand,Train,10,Hotel,Special Dietary,Adventure,Goa,Beach,Goa,2047,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",404,45000,11000,1218,57622
5,"0 kids, 4 adults, 1 seniors",Middle,April,Tamil Nadu,Car,7,Hotel,Mixed,Adventure,Hampi,Historical,Karnataka,1573,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",13083,14000,14000,1627,42710
2,"1 kids, 1 adults, 0 seniors",Middle,March,Bihar,Bus,9,Resort,Veg,Adventure,Kovalam,Beach,Kerala,1083,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",260,40500,5400,2224,48384
6,"3 kids, 1 adults, 2 seniors",Middle,April,Uttarakhand,Train,5,Hotel,Special Dietary,Adventure,Shimla,Hill Station,Himachal Pradesh,2247,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",1686,16000,16500,4891,39077
2,"0 kids, 1 adults, 1 seniors",Middle,January,West Bengal,Train,11,Hotel,Veg,Wildlife,Agra,Historical,Uttar Pradesh,477,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",244,27500,6600,4957,39301
6,"0 kids, 4 adults, 2 seniors",High,January,Assam,Train,7,Hotel,Veg,Relaxation,Darjeeling,Hill Station,West Bengal,476,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",600,21000,12600,2475,36675
7,"0 kids, 7 adults, 0 seniors",Middle,June,Rajasthan,Train,10,Hotel,Non-Veg,Food & Market,Varanasi,Pilgrimage,Uttar Pradesh,2160,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",1981,20000,31500,1046,54527
8,"1 kids, 1 adults, 6 seniors",Middle,August,Maharashtra,Train,2,Homestay,Veg,Relaxation,Kovalam,Beach,Kerala,2311,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1880,4800,4800,7679,19159
6,"3 kids, 2 adults, 1 seniors",Low,November,Goa,Train,2,Budget Lodge,Mixed,Relaxation,Shimla,Hill Station,Himachal Pradesh,1707,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",1182,3840,4800,3776,13598
7,"3 kids, 4 adults, 0 seniors",Middle,March,Karnataka,Flight,7,Budget Lodge,Mixed,Adventure,Hampi,Historical,Karnataka,454,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",8400,8400,19600,4027,40427
6,"1 kids, 5 adults, 0 seniors",Middle,February,Kerala,Train,6,Hotel,Special Dietary,Sightseeing,Hampi,Historical,Karnataka,2018,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",1200,12000,19800,4162,37162
2,"1 kids, 1 adults, 0 seniors",Middle,January,Kerala,Flight,8,Hotel,Non-Veg,Adventure,Munnar,Hill Station,Kerala,468,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",2400,24000,7200,1534,35134
2,"0 kids, 2 adults, 0 seniors",Middle,October,Maharashtra,Flight,12,Hotel,Mixed,Relaxation,Varanasi,Pilgrimage,Uttar Pradesh,514,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",2400,24000,9600,863,36863
6,"2 kids, 4 adults, 0 seniors",Middle,May,Goa,Car,2,Homestay,Special Dietary,Wildlife,Jaipur,Historical,Rajasthan,2500,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",20441,5120,6600,2644,34805
8,"2 kids, 6 adults, 0 seniors",Middle,October,Uttarakhand,Flight,9,Hotel,Non-Veg,Adventure,Varanasi,Pilgrimage,Uttar Pradesh,907,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",9600,18000,32400,659,60659
8,"2 kids, 6 adults, 0 seniors",Middle,February,Uttar Pradesh,Flight,6,Budget Lodge,Non-Veg,Relaxation,Rishikesh,Adventure,Uttarakhand,1118,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",9600,8640,21600,5292,45132
8,"1 kids, 2 adults, 5 seniors",Middle,January,Himachal Pradesh,Flight,7,Hotel,Non-Veg,Wildlife,Shimla,Hill Station,Himachal Pradesh,87,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",9600,22400,25200,3761,60961
7,"3 kids, 4 adults, 0 seniors",Middle,October,Kerala,Train,7,Resort,Special Dietary,Pilgrimage,Kaziranga,Wildlife,Assam,2319,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",1561,27300,26950,2551,58362
8,"1 kids, 7 adults, 0 seniors",High,July,Uttar Pradesh,Car,2,Homestay,Non-Veg,Relaxation,Munnar,Hill Station,Kerala,863,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",7764,4800,7200,6310,26074
3,"1 kids, 2 adults, 0 seniors",High,May,Goa,Flight,10,Hotel,Mixed,Wildlife,Rishikesh,Adventure,Uttarakhand,582,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",3600,24000,12000,4762,44362
6,"1 kids, 2 adults, 3 seniors",Middle,December,West Bengal,Train,11,Hotel,Veg,Adventure,Manali,Hill Station,Himachal Pradesh,2562,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",1326,38500,19800,5834,65460
3,"2 kids, 1 adults, 0 seniors",Middle,January,Karnataka,Bus,10,Hotel,Mixed,Pilgrimage,Goa,Beach,Goa,1863,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",303,45000,12000,4715,62018
2,"0 kids, 1 adults, 1 seniors",Middle,August,Karnataka,Train,11,Hotel,Mixed,Food & Market,Agra,Historical,Uttar Pradesh,1833,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",258,27500,8800,3535,40093
6,"0 kids, 3 adults, 3 seniors",Low,February,Uttarakhand,Train,4,Hotel,Mixed,Pilgrimage,Jim Corbett,Wildlife,Uttarakhand,448,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",600,14000,9600,8588,32788
3,"1 kids, 2 adults, 0 seniors",Low,March,Karnataka,Car,9,Hotel,Mixed,Pilgrimage,Manali,Hill Station,Himachal Pradesh,568,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",5549,31500,10800,4640,52489
5,"1 kids, 2 adults, 2 seniors",Middle,January,Maharashtra,Train,11,Budget Lodge,Special Dietary,Relaxation,Rishikesh,Adventure,Uttarakhand,233,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",500,15840,30250,9060,55650
3,"1 kids, 2 adults, 0 seniors",Middle,June,Maharashtra,Train,11,Resort,Mixed,Wildlife,Kovalam,Beach,Kerala,501,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",300,49500,13200,5130,68130
5,"2 kids, 3 adults, 0 seniors",Middle,February,Rajasthan,Car,8,Hotel,Mixed,Wildlife,Agra,Historical,Uttar Pradesh,790,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",6927,20000,16000,5435,48362
6,"3 kids, 3 adults, 0 seniors",Low,January,Rajasthan,Bus,9,Resort,Non-Veg,Wildlife,Rishikesh,Adventure,Uttarakhand,772,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",480,32400,24300,7218,64398
3,"1 kids, 2 adults, 0 seniors",Middle,September,Odisha,Flight,9,Homestay,Mixed,Pilgrimage,Manali,Hill Station,Himachal Pradesh,1708,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",3600,25200,10800,6019,45619
2,"1 kids, 1 adults, 0 seniors",Middle,December,Odisha,Flight,2,Resort,Mixed,Food & Market,Darjeeling,Hill Station,West Bengal,2569,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",3864,9000,1600,2364,16828
7,"0 kids, 5 adults, 2 seniors",Middle,September,Assam,Bus,8,Hotel,Non-Veg,Adventure,Jim Corbett,Wildlife,Uttarakhand,650,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",560,28000,25200,1655,55415
5,"2 kids, 2 adults, 1 seniors",Low,December,Goa,Train,11,Budget Lodge,Veg,Food & Market,Munnar,Hill Station,Kerala,2324,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",940,19800,16500,5094,42334
4,"3 kids, 1 adults, 0 seniors",Middle,March,Karnataka,Car,7,Resort,Mixed,Wildlife,Varanasi,Pilgrimage,Uttar Pradesh,987,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",8600,21000,11200,1442,42242
6,"2 kids, 2 adults, 2 seniors",High,May,Bihar,Train,5,Resort,Special Dietary,Relaxation,Varanasi,Pilgrimage,Uttar Pradesh,1628,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",1338,15000,16500,1420,34258
4,"0 kids, 4 adults, 0 seniors",High,July,Odisha,Train,4,Hotel,Mixed,Food & Market,Shimla,Hill Station,Himachal Pradesh,1618,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",768,12800,6400,5873,25841
4,"3 kids, 1 adults, 0 seniors",Low,September,Uttarakhand,Car,6,Hotel,Non-Veg,Sightseeing,Manali,Hill Station,Himachal Pradesh,2375,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",19662,21000,10800,5726,57188
3,"0 kids, 1 adults, 2 seniors",Middle,December,Karnataka,Train,4,Hotel,Non-Veg,Pilgrimage,Kaziranga,Wildlife,Assam,2148,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",729,10400,5400,6829,23358
3,"1 kids, 2 adults, 0 seniors",Middle,January,Bihar,Train,11,Hotel,Veg,Sightseeing,Jaipur,Historical,Rajasthan,920,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",300,35200,9900,3752,49152
8,"3 kids, 2 adults, 3 seniors",High,May,Maharashtra,Train,11,Resort,Mixed,Relaxation,Varanasi,Pilgrimage,Uttar Pradesh,2425,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",2224,33000,35200,2323,72747
3,"2 kids, 1 adults, 0 seniors",Middle,February,Himachal Pradesh,Train,9,Resort,Non-Veg,Adventure,Hampi,Historical,Karnataka,1580,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",453,27000,12150,5151,44754
7,"1 kids, 2 adults, 4 seniors",Middle,November,Tamil Nadu,Bus,10,Hotel,Special Dietary,Food & Market,Shimla,Hill Station,Himachal Pradesh,956,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",560,32000,38500,4411,75471
4,"1 kids, 1 adults, 2 seniors",Middle,April,Karnataka,Bus,7,Hotel,Veg,Relaxation,Kaziranga,Wildlife,Assam,1672,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",564,18200,8400,3435,30599
2,"0 kids, 2 adults, 0 seniors",Middle,July,Assam,Flight,6,Resort,Mixed,Relaxation,Jim Corbett,Wildlife,Uttarakhand,1104,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",2400,31500,4800,2594,41294
5,"1 kids, 4 adults, 0 seniors",Middle,October,Himachal Pradesh,Train,10,Budget Lodge,Non-Veg,Sightseeing,Kaziranga,Wildlife,Assam,2640,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",905,15600,22500,5804,44809
5,"2 kids, 1 adults, 2 seniors",High,February,Maharashtra,Bus,10,Hotel,Non-Veg,Sightseeing,Agra,Historical,Uttar Pradesh,2331,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",710,25000,22500,1452,49662
7,"1 kids, 6 adults, 0 seniors",Middle,February,Uttar Pradesh,Train,2,Hotel,Special Dietary,Pilgrimage,Jim Corbett,Wildlife,Uttarakhand,436,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",889,7000,7700,5287,20876
7,"2 kids, 1 adults, 4 seniors",Middle,January,Punjab,Train,3,Hotel,Mixed,Food & Market,Shimla,Hill Station,Himachal Pradesh,2416,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",1106,9600,8400,1065,20171
5,"0 kids, 3 adults, 2 seniors",Middle,March,Bihar,Flight,12,Budget Lodge,Mixed,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,1746,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",6155,14400,24000,628,45183
7,"1 kids, 6 adults, 0 seniors",High,February,Rajasthan,Car,8,Resort,Non-Veg,Adventure,Darjeeling,Hill Station,West Bengal,293,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",3155,36000,25200,4292,68647
7,"3 kids, 4 adults, 0 seniors",High,April,Karnataka,Train,6,Hotel,Veg,Adventure,Darjeeling,Hill Station,West Bengal,1917,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",1820,18000,12600,6775,39195
2,"0 kids, 1 adults, 1 seniors",Low,October,Maharashtra,Train,12,Homestay,Veg,Sightseeing,Hampi,Historical,Karnataka,381,Hot,Low,8,50,2000,"Vijaya Vittala Temple,Hampi Bazaar,River Views",200,19200,7200,4095,30695
3,"2 kids, 1 adults, 0 seniors",Middle,January,Rajasthan,Flight,6,Hotel,Mixed,Wildlife,Jim Corbett,Wildlife,Uttarakhand,1513,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",3600,21000,7200,3972,35772
3,"2 kids, 1 adults, 0 seniors",Middle,May,Maharashtra,Flight,11,Budget Lodge,Non-Veg,Food & Market,Kaziranga,Wildlife,Assam,1949,Humid,Low,6,90,2600,"One-horned Rhino Park,Jeep Safaris,Wildlife Tours",4614,17160,14850,5560,42184
2,"1 kids, 1 adults, 0 seniors",Middle,June,Punjab,Train,4,Hotel,Non-Veg,Wildlife,Varanasi,Pilgrimage,Uttar Pradesh,1187,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",202,8000,3600,1531,13333
8,"1 kids, 7 adults, 0 seniors",Middle,January,Uttar Pradesh,Train,8,Resort,Non-Veg,Pilgrimage,Goa,Beach,Goa,1244,Hot,High,8,15,4500,"Baga Beach,Anjuna,Cruise",808,54000,28800,3705,87313
7,"0 kids, 4 adults, 3 seniors",High,February,Uttar Pradesh,Bus,5,Hotel,Special Dietary,Food & Market,Jim Corbett,Wildlife,Uttarakhand,2669,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",756,17500,19250,8656,46162
2,"0 kids, 1 adults, 1 seniors",Middle,June,Uttarakhand,Car,2,Hotel,Non-Veg,Food & Market,Shimla,Hill Station,Himachal Pradesh,2161,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",17984,6400,1800,6198,32382
6,"1 kids, 4 adults, 1 seniors",High,September,Himachal Pradesh,Bus,8,Hotel,Mixed,Relaxation,Kovalam,Beach,Kerala,1673,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",708,24000,19200,5073,48981
5,"0 kids, 4 adults, 1 seniors",Middle,June,Goa,Train,8,Hotel,Non-Veg,Food & Market,Munnar,Hill Station,Kerala,266,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",500,24000,18000,5032,47532
6,"3 kids, 2 adults, 1 seniors",Low,June,Goa,Train,5,Hotel,Mixed,Relaxation,Darjeeling,Hill Station,West Bengal,2201,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",1866,15000,12000,5756,34622
7,"3 kids, 4 adults, 0 seniors",Low,June,Rajasthan,Train,10,Hotel,Veg,Wildlife,Manali,Hill Station,Himachal Pradesh,504,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",1127,35000,21000,897,58024
8,"0 kids, 7 adults, 1 seniors",Low,November,Goa,Train,4,Hotel,Special Dietary,Relaxation,Manali,Hill Station,Himachal Pradesh,2730,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",2648,14000,17600,5962,40210
6,"3 kids, 3 adults, 0 seniors",Middle,January,Uttar Pradesh,Flight,2,Hotel,Mixed,Wildlife,Kovalam,Beach,Kerala,270,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",7200,6000,4800,7661,25661
7,"3 kids, 2 adults, 2 seniors",Low,February,Uttar Pradesh,Train,5,Resort,Mixed,Relaxation,Kovalam,Beach,Kerala,1825,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",812,22500,14000,4056,41368
5,"3 kids, 1 adults, 1 seniors",High,April,Uttarakhand,Flight,3,Resort,Veg,Adventure,Jaipur,Historical,Rajasthan,1753,Hot,High,7,15,3200,"Amber Fort,Hawa Mahal,City Palace",6185,14400,4500,5027,30112
5,"0 kids, 1 adults, 4 seniors",Middle,February,Karnataka,Bus,12,Homestay,Veg,Wildlife,Manali,Hill Station,Himachal Pradesh,1141,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",400,33600,18000,6171,58171
6,"3 kids, 2 adults, 1 seniors",Low,February,Assam,Car,10,Resort,Veg,Sightseeing,Agra,Historical,Uttar Pradesh,264,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",2736,37500,18000,5308,63544
3,"2 kids, 1 adults, 0 seniors",High,May,Rajasthan,Flight,11,Homestay,Special Dietary,Food & Market,Rishikesh,Adventure,Uttarakhand,1558,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",3600,21120,18150,4292,47162
8,"0 kids, 6 adults, 2 seniors",Low,July,Goa,Bus,7,Resort,Special Dietary,Relaxation,Manali,Hill Station,Himachal Pradesh,2797,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",1144,36750,30800,6918,75612
5,"3 kids, 1 adults, 1 seniors",Middle,July,Tamil Nadu,Train,11,Resort,Veg,Wildlife,Kovalam,Beach,Kerala,1209,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1140,49500,16500,1602,68742
2,"1 kids, 1 adults, 0 seniors",Middle,November,Rajasthan,Bus,7,Hotel,Veg,Adventure,Kovalam,Beach,Kerala,2021,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",234,21000,4200,7236,32670
4,"0 kids, 2 adults, 2 seniors",Low,July,Karnataka,Flight,10,Hotel,Veg,Adventure,Agra,Historical,Uttar Pradesh,2470,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",5508,25000,12000,5390,47898
6,"2 kids, 4 adults, 0 seniors",Low,July,Tamil Nadu,Bus,10,Budget Lodge,Non-Veg,Wildlife,Rishikesh,Adventure,Uttarakhand,894,Pleasant,Medium,8,35,2400,"River Rafting,Yoga Ashrams,Laxman Jhula",606,14400,27000,8237,50243
3,"0 kids, 2 adults, 1 seniors",Middle,August,Rajasthan,Train,8,Hotel,Mixed,Pilgrimage,Darjeeling,Hill Station,West Bengal,515,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",300,24000,9600,2561,36461
3,"2 kids, 1 adults, 0 seniors",Middle,April,Karnataka,Train,6,Hotel,Special Dietary,Relaxation,Jim Corbett,Wildlife,Uttarakhand,1756,Pleasant,Medium,7,60,3500,"Safaris,Jim Corbett National Park,River Sights",522,21000,9900,5106,36528
4,"3 kids, 1 adults, 0 seniors",Middle,October,Punjab,Train,7,Hotel,Special Dietary,Relaxation,Kovalam,Beach,Kerala,2792,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",1192,21000,15400,5717,43309
8,"1 kids, 3 adults, 4 seniors",Middle,July,Himachal Pradesh,Train,11,Hotel,Non-Veg,Food & Market,Darjeeling,Hill Station,West Bengal,2453,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",1216,33000,39600,6457,80273
5,"1 kids, 4 adults, 0 seniors",Middle,December,Kerala,Bus,8,Resort,Non-Veg,Food & Market,Kovalam,Beach,Kerala,267,Hot,Medium,7,25,3000,"Lighthouse Beach,Ayurvedic Spas,Sunset Points",400,36000,18000,6395,60795
3,"2 kids, 1 adults, 0 seniors",Middle,February,Karnataka,Car,9,Resort,Special Dietary,Wildlife,Manali,Hill Station,Himachal Pradesh,1672,Cold/Pleasant,Medium,8,50,3500,"Solang Valley,Hadimba Temple,Rohtang Pass",14675,47250,14850,5364,82139
7,"0 kids, 1 adults, 6 seniors",Middle,November,Assam,Train,12,Resort,Special Dietary,Relaxation,Darjeeling,Hill Station,West Bengal,1963,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",938,54000,46200,586,101724
2,"1 kids, 1 adults, 0 seniors",Middle,September,Uttar Pradesh,Flight,11,Hotel,Mixed,Pilgrimage,Varanasi,Pilgrimage,Uttar Pradesh,532,Hot,High,6,12,2000,"Ganga Ghats,Kashi Vishwanath,Boat Rides",2400,22000,8800,1712,34912
2,"1 kids, 1 adults, 0 seniors",Middle,February,Kerala,Bus,4,Hotel,Mixed,Pilgrimage,Darjeeling,Hill Station,West Bengal,1047,Cold,Low,8,45,3000,"Tiger Hill,Tea Gardens,Ride the Toy Train",176,12000,3200,4456,19832
4,"3 kids, 1 adults, 0 seniors",Middle,December,Karnataka,Train,6,Hotel,Veg,Adventure,Agra,Historical,Uttar Pradesh,647,Hot,High,6,10,2500,"Taj Mahal,Agra Fort,Mehtab Bagh",696,15000,7200,1846,24742
7,"1 kids, 5 adults, 1 seniors",Low,March,Himachal Pradesh,Flight,9,Hotel,Special Dietary,Food & Market,Munnar,Hill Station,Kerala,963,Pleasant,Low,8,90,3000,"Tea Gardens,Eravikulam National Park,Mattupetty",8400,27000,34650,3740,73790
2,"0 kids, 2 adults, 0 seniors",Middle,July,Maharashtra,Bus,5,Hotel,Veg,Wildlife,Shimla,Hill Station,Himachal Pradesh,2399,Cold,High,7,120,3200,"The Ridge,Jakhoo Temple,Mall Road",224,16000,3000,3496,22720
